image_name,xmin,xmax,ymin,ymax,class_id,score
image_room2_1_206.png,56,75,36,65,human,0.9144967198371887
image_room1_1_206.png,37,51,55,67,human,0.9667752981185913
image_room1_1_206.png,18,31,7,20,human,0.9642269015312195
image_room1_1_206.png,34,51,3,21,human,0.9514071345329285
image_room1_1_206.png,51,61,8,19,human,0.9391968846321106
room1_dataCollector0001_20210125_im_gap_20210125-10_10_04.png,66,73,53,61,human,0.9253304600715637
room1_dataCollector0001_20210125_im_gap_20210125-10_10_04.png,27,33,0,3,human,0.6466824412345886
room1_dataCollector0001_20210125_im_gap_20210125-10_10_04.png,58,64,1,5,human,0.6352551579475403
room1_dataCollector0001_20210125_im_gap_20210125-10_10_04.png,17,26,25,32,human,0.5534570813179016
room1_dataCollector0001_20210126_im_gap_20210126-15_40_04.png,66,73,50,63,human,0.9337530732154846
room1_dataCollector0001_20210126_im_gap_20210126-15_40_04.png,64,75,24,37,human,0.923699140548706
room1_dataCollector0001_20210126_im_gap_20210126-15_40_04.png,63,70,10,17,human,0.9154227375984192
room1_dataCollector0002_20210115_im_gap_20210115-13_40_04.png,48,62,51,63,human,0.9518919587135315
room1_dataCollector0001_20210126_im_gap_20210126-12_45_04.png,13,24,29,41,human,0.9492247700691223
image_room2_1_77.png,31,44,63,78,human,0.9684072732925415
image_room2_1_77.png,54,76,26,50,human,0.9401457905769348
image_room2_1_77.png,61,79,21,34,human,0.6517629027366638
image_room2_1_77.png,42,49,13,22,human,0.6503340601921082
image_room2_1_77.png,58,68,30,39,human,0.5317921042442322
room1_dataCollector0006_20210115_im_gap_20210115-12_50_04.png,3,10,36,45,human,0.9548876881599426
room1_dataCollector0006_20210115_im_gap_20210115-12_50_04.png,9,15,58,66,human,0.9322050213813782
image_17_3.png,24,33,2,13,human,0.9702193737030029
image_17_3.png,49,71,19,37,human,0.9251601099967957
image_17_3.png,15,22,5,12,human,0.8602686524391174
image_17_3.png,68,76,16,26,human,0.6758490204811096
image_17_3.png,41,51,70,79,human,0.6547045707702637
image_17_3.png,69,79,32,43,human,0.5314762592315674
room1_dataCollector0001_20210125_im_gap_20210125-12_35_04.png,37,46,0,13,human,0.9529666304588318
room1_dataCollector0001_20210125_im_gap_20210125-12_35_04.png,58,64,0,6,human,0.651521623134613
