image_name,xmin,xmax,ymin,ymax,class_id,score
acqui2_image_1331.png,51,62,30,44,person,0.9574984908103943
acqui2_image_1331.png,36,46,3,12,person,0.9573771953582764
acqui2_image_1331.png,18,27,14,29,person,0.9470484852790833
acqui2_image_1331.png,16,30,37,50,person,0.9442753791809082
acqui2_image_1331.png,7,18,12,26,person,0.9385660886764526
acqui2_image_1331.png,0,16,32,49,person,0.8376937508583069
room1_dataCollector0002_20210128_im_gap_20210128-08_40_04.png,2,12,29,38,person,0.951161801815033
room1_dataCollector0002_20210128_im_gap_20210128-08_40_04.png,51,61,53,63,person,0.9415574073791504
room1_dataCollector0002_20210126_im_gap_20210126-11_35_04.png,51,61,51,62,person,0.959791898727417
room1_dataCollector0002_20210126_im_gap_20210126-11_35_04.png,1,10,28,37,person,0.9527873992919922
room1_dataCollector0002_20210129_im_gap_20210129-13_50_04.png,2,11,30,38,person,0.9588189125061035
room1_dataCollector0002_20210129_im_gap_20210129-13_50_04.png,53,63,2,9,person,0.9422399997711182
acqui4_imag2_3538.png,8,24,45,69,person,0.7714269161224365
image_room2_1_88.png,41,60,53,70,person,0.8934891819953918
image_room2_1_88.png,43,64,36,54,person,0.8883486390113831
room2_dataCollector0005_20210520_im_gap_20210520-15_20_03.png,14,30,32,45,person,0.9567602872848511
room1_dataCollector0002_20210128_im_gap_20210128-09_55_04.png,6,14,9,16,person,0.9418923258781433
room1_dataCollector0002_20210128_im_gap_20210128-09_55_04.png,7,13,34,43,person,0.8857108354568481
image_2_4293.png,45,61,65,78,person,0.9712182283401489
image_2_4293.png,4,23,31,43,person,0.9709249138832092
image_2_4293.png,47,62,50,64,person,0.9671121835708618
image_2_4293.png,56,78,21,35,person,0.9667780995368958
image_2_4293.png,51,68,35,46,person,0.939121425151825
room1_dataCollector0002_20210115_im_gap_20210115-09_40_04.png,52,62,50,62,person,0.9682963490486145
room1_dataCollector0002_20210128_im_gap_20210128-17_35_04.png,2,13,29,37,person,0.9273452162742615
room1_dataCollector0006_20210129_im_gap_20210129-11_15_04.png,42,53,13,23,person,0.9751151204109192
room1_dataCollector0006_20210129_im_gap_20210129-11_15_04.png,54,63,61,69,person,0.9728481769561768
room2_dataCollector0005_20210518_im_gap_20210518-17_15_04.png,38,52,50,70,person,0.9651020169258118
room1_dataCollector0006_20210127_im_gap_20210127-15_30_04.png,41,53,13,23,person,0.9752271175384521
room1_dataCollector0006_20210127_im_gap_20210127-15_30_04.png,38,45,70,78,person,0.8836276531219482
image_4_2800.png,53,72,36,60,person,0.934508204460144
image_4_2800.png,56,70,15,35,person,0.8941845297813416
image_250.png,58,66,14,21,person,0.9619248509407043
image_250.png,48,59,54,65,person,0.9473578929901123
image_250.png,17,24,4,10,person,0.8029690980911255
room2_dataCollector0005_20210518_im_gap_20210518-17_00_04.png,39,51,50,71,person,0.9568387269973755
room2_dataCollector0005_20210518_im_gap_20210518-17_00_04.png,26,35,5,25,person,0.8937894105911255
acqui4_imag2_4417.png,10,27,30,50,person,0.9712105989456177
acqui4_imag2_4417.png,14,31,17,31,person,0.9665155410766602
acqui4_imag2_4417.png,45,66,39,56,person,0.8849495053291321
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,42,52,13,23,person,0.9765833616256714
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,9,14,59,66,person,0.8907878398895264
room1_dataCollector0006_20210128_im_gap_20210128-10_30_04.png,14,23,72,76,person,0.7964033484458923
room1_dataCollector0005_20210125_im_gap_20210125-08_40_04.png,22,30,65,74,person,0.9636656045913696
room1_dataCollector0005_20210125_im_gap_20210125-08_40_04.png,67,74,57,65,person,0.9249870777130127
room1_dataCollector0005_20210128_im_gap_20210128-09_20_04.png,67,74,58,65,person,0.9363431930541992
room1_dataCollector0005_20210128_im_gap_20210128-09_20_04.png,30,41,13,25,person,0.9339916706085205
room1_dataCollector0005_20210128_im_gap_20210128-09_20_04.png,58,68,16,25,person,0.9032449126243591
image_room1_1_234.png,35,55,53,65,person,0.9737157821655273
image_room1_1_234.png,49,62,7,19,person,0.9635812640190125
image_room1_1_234.png,35,50,3,21,person,0.9458284378051758
image_room1_1_234.png,17,31,6,25,person,0.9163160920143127
image_19_2.png,14,31,50,64,person,0.9701642990112305
image_19_2.png,30,49,14,31,person,0.949456512928009
image_19_2.png,48,62,70,78,person,0.9309676885604858
acqui2_image_1200.png,16,27,14,29,person,0.967459499835968
acqui2_image_1200.png,21,30,1,11,person,0.9644173383712769
acqui2_image_1200.png,50,62,31,44,person,0.9525259137153625
acqui2_image_1200.png,36,46,3,12,person,0.9497612118721008
acqui2_image_1200.png,13,29,36,52,person,0.932542622089386
acqui2_image_1200.png,57,73,14,31,person,0.9268888235092163
image_20_91.png,49,63,69,78,person,0.9591659307479858
image_20_91.png,31,46,21,33,person,0.9503211379051208
image_20_91.png,12,31,5,32,person,0.8674014210700989
image_20_91.png,16,25,6,15,person,0.7997398376464844
image_20_91.png,40,51,7,17,person,0.7699084877967834
room1_dataCollector0005_20210126_im_gap_20210126-15_25_04.png,31,39,14,26,person,0.9134562015533447
room1_dataCollector0005_20210126_im_gap_20210126-15_25_04.png,62,69,69,77,person,0.886510968208313
acqui4_imag2_2211.png,0,17,44,59,person,0.9847294688224792
acqui4_imag2_2211.png,12,35,35,51,person,0.9830026030540466
acqui4_imag2_2211.png,44,67,24,44,person,0.9337825775146484
room1_dataCollector0006_20210125_im_gap_20210125-15_25_04.png,8,15,57,65,person,0.9249126315116882
room1_dataCollector0006_20210125_im_gap_20210125-15_25_04.png,53,62,64,72,person,0.9226055145263672
room1_dataCollector0005_20210128_im_gap_20210128-07_35_04.png,67,74,59,66,person,0.865899384021759
room1_dataCollector0006_20210129_im_gap_20210129-13_00_03.png,54,63,61,70,person,0.9454782009124756
room1_dataCollector0006_20210129_im_gap_20210129-13_00_03.png,42,52,13,25,person,0.9299858212471008
room1_dataCollector0006_20210129_im_gap_20210129-13_00_03.png,51,59,73,78,person,0.7856941819190979
image_2_199.png,13,26,15,28,person,0.9658362865447998
image_2_199.png,64,74,32,48,person,0.9646235108375549
image_2_199.png,55,66,25,38,person,0.9629905819892883
image_2_199.png,36,47,3,12,person,0.9481210112571716
image_2_199.png,8,24,31,45,person,0.9380877017974854
image_2_199.png,50,67,46,60,person,0.9278876185417175
image_2_199.png,46,60,19,36,person,0.8872479200363159
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,30,44,44,59,person,0.9646044373512268
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,19,36,17,33,person,0.9552164673805237
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,45,63,23,37,person,0.9277567863464355
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,50,61,6,19,person,0.9144080877304077
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,23,31,1,11,person,0.9092501997947693
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,33,43,0,9,person,0.8638097047805786
room2_dataCollector0002_20210517_im_gap_20210517-11_30_04.png,17,27,12,22,person,0.8398200273513794
room1_dataCollector0001_20210118_im_gap_20210118-12_30_04.png,13,29,27,45,person,0.924767255783081
room1_dataCollector0005_20210128_im_gap_20210128-13_50_04.png,57,68,16,26,person,0.9567663669586182
room1_dataCollector0001_20210114_im_gap_20210114-15_40_04.png,13,25,32,42,person,0.9515463709831238
room1_dataCollector0002_20210125_im_gap_20210125-18_10_04.png,17,23,0,4,person,0.8142269253730774
image_room1_1_332.png,36,50,52,66,person,0.969950258731842
image_room1_1_332.png,34,48,6,21,person,0.9629582762718201
image_room1_1_332.png,16,32,8,22,person,0.9546783566474915
image_room1_1_332.png,51,65,7,22,person,0.9540121555328369
room1_dataCollector0004_20210129_im_gap_20210129-15_30_04.png,58,69,43,55,person,0.9599737524986267
room1_dataCollector0004_20210129_im_gap_20210129-15_30_04.png,57,68,18,27,person,0.9468674063682556
room1_dataCollector0004_20210129_im_gap_20210129-15_30_04.png,10,15,63,69,person,0.8804823160171509
room1_dataCollector0001_20210115_im_gap_20210115-09_35_04.png,65,72,53,61,person,0.9370383620262146
acqui2_image_1534.png,52,66,15,28,person,0.9559489488601685
acqui2_image_1534.png,50,62,31,45,person,0.9547190070152283
acqui2_image_1534.png,61,75,50,64,person,0.9539510607719421
acqui2_image_1534.png,25,32,1,14,person,0.9457843899726868
acqui2_image_1534.png,15,30,35,49,person,0.9445379972457886
acqui2_image_1534.png,36,46,3,12,person,0.9395829439163208
acqui2_image_1534.png,49,66,61,74,person,0.8331721425056458
room2_dataCollector0005_20210519_im_gap_20210519-16_25_04.png,52,69,35,48,person,0.9677773714065552
room2_dataCollector0005_20210519_im_gap_20210519-16_25_04.png,43,55,48,64,person,0.9311368465423584
room1_dataCollector0002_20210126_im_gap_20210126-15_10_04.png,2,10,28,38,person,0.9724987745285034
room1_dataCollector0002_20210126_im_gap_20210126-15_10_04.png,54,62,3,10,person,0.8908226490020752
image_2_1138.png,15,27,14,28,person,0.9709717035293579
image_2_1138.png,49,61,13,28,person,0.966663122177124
image_2_1138.png,17,30,37,51,person,0.9653708338737488
image_2_1138.png,50,62,31,45,person,0.957577109336853
image_2_1138.png,36,46,3,12,person,0.9563471078872681
image_2_1138.png,66,79,46,59,person,0.9457535743713379
room1_dataCollector0004_20210127_im_gap_20210127-09_45_04.png,3,13,47,55,person,0.913140594959259
room1_dataCollector0004_20210127_im_gap_20210127-09_45_04.png,10,15,63,69,person,0.8801787495613098
